,Diam,StartNode,EndNode,Length
150,7.14,94,379,531.1162731821604
151,6.84,158,373,170.31017045951324
152,6.67,233,205,664.2298134905109
153,5.62,96,299,85.14061657167903
154,6.31,279,278,101.63795106351138
155,6.36,140,141,290.4163737929596
156,11.62,145,146,482.11600319940226
157,8.86,92,93,191.7863830232258
158,8.11,109,110,574.5958454438146
159,12.44,371,370,115.33093993749489
160,13.24,174,135,160.51287752383712
161,16.549999,366,199,133.77753256830903
162,7.75,134,377,415.6076201871769
163,16.440001,367,366,193.01606598025418
164,9.99,278,277,116.39055781039114
165,7.97,93,94,251.96708781370666
166,10.4,263,262,468.6900796992338
167,8.31,141,153,75.91873291762496
168,6.82,111,279,388.9476497219596
169,11.36,135,137,59.4608329026383
170,6.02,97,158,101.48925846352113
171,8.07,373,371,113.09379371891431
172,8.86,47,327,1116.5615936867334
173,10.1,136,343,294.63569232998344
174,12.74,260,259,71.29929001328318
175,6.06,221,219,183.90490258973043
176,12.37,148,149,118.16760435700468
177,6.43,118,278,143.15842055983927
178,7.67,126,372,309.296330165316
179,6.68,10,31,211.24563379963408
180,7.35,94,381,384.31557663534045
181,6.39,27,28,113.29336622315671
182,12.68,289,288,617.9208679934118
183,11.41,288,287,70.48118549884761
184,11.65,261,260,102.7878883870479
185,9.33,287,286,90.9114805088692
186,6.52,298,297,70.91928478858483
187,12.94,259,258,373.88839677566165
188,6.25,32,33,790.5095265239497
189,6.72,364,363,143.516519680537
190,12.25,216,215,307.7366572510638
191,12.43,309,306,178.32137798374424
192,4.61,119,120,66.62776287390754
193,8.33,73,90,251.3520731989434
194,5.64,248,247,119.01209113135904
195,13.35,286,243,100.92185373808468
196,6.67,50,155,137.43763042505236
197,8.2,300,201,286.19265240413506
198,6.82,296,294,73.95302498696702
200,27.85,166,230,131.0955658668759
201,6.98,102,119,169.23446297885982
202,9.53,277,276,58.89716685360227
203,8.46,110,283,212.738741679935
204,6.52,119,288,360.1978004023998
205,8.43,137,138,58.61621100000002
206,7.85,86,87,497.3158625079142
207,12.63,368,367,84.1388889388534
208,7.13,127,130,121.59623141918509
209,10.71,149,150,151.43283205575625
210,6.02,28,29,76.57232014028628
211,8.36,122,126,76.39479947283463
212,7.05,153,383,178.17388230199987
213,6.39,103,117,326.29020182180926
214,9.22,381,375,266.5445370117559
215,7.32,78,156,34.514199113819984
216,10.66,247,246,130.72083848518065
217,11.01,293,242,261.85031080526306
218,11.19,193,261,457.3626534835565
219,7.28,79,249,139.57128625774067
220,6.59,90,241,80.41988837615838
221,21.129999,215,214,225.18476604722554
222,7.53,117,118,30.232938941414766
223,22.379999,214,213,99.89666867680185
224,6.99,123,124,263.21304624072087
225,13.47,340,339,228.09799988392172
226,6.52,22,336,172.5981590291103
227,6.59,11,27,340.99733389095184
228,10.24,249,247,101.78796914084387
229,6.32,120,287,386.61703020623474
230,8.04,84,85,337.3473164045574
231,7.05,89,222,342.82248468508016
232,8.71,25,26,131.4750908430625
233,32.290001,230,229,246.7429611516198
234,12.65,321,320,130.84277116277136
235,21.879999,257,256,279.70575953530863
236,12.63,138,175,190.80701983826933
237,6.56,222,214,277.0062320523176
238,33.830002,229,209,295.5063712342699
240,14.87,380,195,592.4593395470575
241,23.700001,258,257,106.73222530685373
242,8.11,126,297,288.81157030747744
244,15.42,98,127,1062.2995731717406
245,32.689999,280,275,310.06664775200096
246,18.42,339,338,228.13721219419642
247,7.5,101,121,95.06883995991481
248,7.56,88,222,51.76104648479733
249,9.84,130,285,1207.48773234178
250,18.459999,338,337,158.623541685966
251,5.13,31,32,91.25099586255402
252,13.76,217,216,202.69687591152513
253,8.98,4,92,148.78531887327662
254,15.75,127,128,100.01678864007647
255,27.65,186,0,152.7725021163792
256,8.98,150,263,133.39272965058134
