Node,x,y
0,139.5625,4024.982422
1,480.095001,4016.608643
2,840.16626,3821.221191
3,1264.436279,3547.678711
4,1434.702515,3318.796143
5,1526.813721,3288.092529
6,2087.85498,2640.522461
7,2584.69751,1884.09375
8,2612.610107,1850.598755
9,2648.89624,1803.147461
10,2743.798828,1705.453735
11,2844.283691,1702.662476
12,3062.001221,1618.925049
13,3098.287598,1610.55127
14,3184.816162,1518.439941
15,3215.52002,1141.621216
16,3313.213867,979.72876
17,3516.975098,468.929993
18,3729.110107,499.633759
19,3837.96875,502.424988
20,3829.594971,583.371277
21,3715.153809,856.913757
22,3611.877441,566.623779
23,3179.233643,1066.257446
24,3276.92749,1546.352539
25,3391.368652,1560.308716
26,3422.07251,1434.702515
27,3087.122559,1914.797485
28,3128.991211,2018.07373
29,3204.35498,2029.23877
30,3318.796143,2252.538818
31,2732.633789,1496.109985
32,2794.04126,1429.119995
33,2674.017578,692.22998
34,2799.623779,1981.787476
35,2997.80249,2177.175049
36,2219.043701,2810.788818
37,2500.959961,3006.17627
38,2869.405029,3059.209961
39,3430.446289,3020.132568
40,3865.881348,2782.876221
41,3918.915039,2741.007568
42,4016.608643,2777.293701
43,4041.72998,2819.162598
44,3921.706299,2947.560059
45,4326.4375,2216.252441
46,4013.817383,2406.057617
47,4167.336426,2199.504883
48,3463.941162,3053.627441
49,3684.449951,3215.52002
50,1716.618774,3477.897461
51,2006.908691,3773.77002
52,2433.969971,3840.76001
53,2531.663818,3999.861328
54,2905.691162,4142.214844
55,3034.088867,4167.336426
56,3276.92749,3815.638672
57,3617.459961,3935.662598
58,3896.584961,3904.95874
59,3977.53125,3837.96875
60,4083.598633,3762.60498
61,4181.29248,3570.008789
62,4237.117676,3528.139893
63,4239.908691,3444.402588
64,4091.972412,3798.891357
65,4108.720215,3891.002441
66,3025.715088,4245.491211
67,3053.627441,4574.858887
68,3087.122559,4591.606445
69,3438.820068,4474.373535
70,3558.84375,4491.121094
71,3176.442383,4851.192383
72,2665.643799,3770.97876
73,2406.057617,4622.310059
74,2500.959961,4845.609863
75,2481.421143,4907.017578
76,2707.512451,5392.694824
77,2983.846191,5959.318848
78,2540.037598,5470.850098
79,2316.737549,5124.734863
80,2685.182617,4946.095215
81,2768.919922,5155.438965
82,2914.064941,5359.200195
83,3109.452393,5602.038574
84,3382.995117,5934.197266
85,3572.800049,6193.783691
86,3329.961182,5322.913574
87,3522.557617,5752.766113
88,3589.547607,5599.247559
89,3503.018799,5247.549805
90,2210.669922,4728.377441
91,2143.679932,4884.6875
92,1443.076294,3170.860107
93,1339.800049,3014.550049
94,1261.64502,2788.45874
95,1390.04248,3650.955078
96,1429.119995,3757.022461
97,845.748779,3960.783691
98,873.661255,4047.3125
99,1002.058777,4153.379883
100,996.476257,4195.248535
101,1267.227539,4672.552734
102,1462.61499,4999.128906
103,1912.006226,5588.08252
104,2076.689941,6274.72998
105,2090.64624,6405.918945
106,2313.946289,6699.0
107,2595.862549,6891.596191
108,2701.929932,6947.421387
109,1831.060059,6327.763672
110,1716.618774,6827.397461
111,2143.679932,6311.016113
112,2213.461182,6313.807617
113,2311.155029,6347.302734
114,2528.872559,6252.399902
115,2593.071289,6285.89502
116,2235.79126,6221.696289
117,1811.52124,5844.877441
118,1783.608765,5856.04248
119,1482.153809,4831.653809
120,1546.352539,4848.401367
121,1183.48999,4711.629883
122,1258.85376,4161.753906
123,1323.05249,4186.875
124,1498.901245,4242.700195
125,1451.449951,4172.918945
126,1292.348755,4094.763672
127,443.808746,4870.731445
128,385.192505,4951.677734
129,1035.553711,5900.702637
130,538.711243,4940.512695
131,318.202515,3907.75
132,923.903748,3514.183838
133,943.442505,3463.941162
134,904.36499,3310.422607
135,2911.273682,156.309998
136,2967.098633,273.542511
137,2863.82251,189.804993
138,2805.206299,189.804993
139,1518.439941,1814.3125
140,1593.803711,1917.588745
141,1596.594971,2207.878662
142,1722.201294,2009.699951
143,1490.527466,1831.060059
144,1253.27124,2140.888672
145,574.997498,1705.453735
146,731.307495,1956.66626
147,2933.60376,7181.88623
148,3516.975098,7198.633789
149,3461.149902,7095.357422
150,3419.28125,6950.212402
151,390.774994,4080.807617
152,265.168762,4242.700195
153,1588.221191,2283.242432
154,3516.975098,1646.837524
155,1783.608765,3396.951172
156,2512.125,5451.311035
157,3824.012451,6378.006348
158,940.651245,3927.288818
159,3832.38623,6765.990234
160,4058.477539,6618.053711
161,4223.161133,6514.777344
162,4206.413574,6297.060059
163,4312.481445,6062.595215
164,4225.952637,5677.402344
165,4354.350098,5389.903809
166,4237.117676,4351.558594
167,4507.868652,4024.982422
168,4546.946289,3329.961182
169,4538.572266,2763.337402
170,4717.212402,1454.241211
171,4027.773682,530.337524
172,3581.173828,254.003754
173,3126.199951,195.387497
174,2869.405029,2.79125
175,2760.546143,8.37375
176,2520.498779,198.178757
177,2272.077393,212.134995
178,2143.679932,393.566254
179,2048.777588,1063.466309
180,1448.658691,1470.98877
181,1230.941284,1521.231201
182,438.226257,1674.75
183,672.691223,2651.6875
184,468.929993,3039.671143
185,301.454987,3734.692383
186,5.5825,4069.642578
187,25.12125,4318.063965
188,304.246246,5085.657715
189,879.243774,6439.413574
190,1624.507446,7131.643555
191,2914.064941,7276.788574
192,3522.557617,7299.118652
193,3770.97876,7128.852539
194,3313.213867,267.959991
195,1314.678711,1727.783691
196,1323.05249,1839.433716
197,1440.285034,2216.252441
198,1526.813721,2693.556152
199,1512.857544,2855.44873
200,1543.561279,2958.725098
201,1970.622559,3134.57373
202,2230.20874,3530.931152
203,2355.814941,3625.83374
204,2433.969971,3564.42627
205,2874.987549,3441.611328
206,3357.873779,3491.85376
