Node,x,y
207,3463.941162,3360.665039
208,3597.921143,3575.591309
209,3768.1875,3969.157471
210,3762.60498,4354.350098
211,3768.1875,4798.158691
212,3770.97876,4845.609863
213,3899.376221,5423.398926
214,3882.628662,5521.092285
215,3930.080078,5738.810059
216,4066.851318,6001.1875
217,3988.696289,6188.201172
218,3941.245117,6305.433594
219,3868.672607,5789.052734
220,3650.955078,6031.891113
221,3731.901367,5688.567383
222,3620.251221,5560.169922
223,4239.908691,5308.95752
224,3709.571289,4840.027344
225,3628.625,4798.158691
226,3603.503662,4368.306152
227,3581.173828,4323.646484
228,3452.776367,4287.359863
229,4019.399902,4069.642578
230,4158.962402,4253.865234
231,4270.612305,4164.544922
232,4393.427734,4080.807617
233,2972.681152,3907.75
234,2302.78125,4248.282715
235,2542.828857,4412.966309
236,2782.876221,4630.683594
237,2796.83252,4661.387695
238,3092.705078,4987.963867
239,3067.58374,5038.206055
240,2199.504883,4412.966309
241,2140.888672,4689.299805
242,1990.161255,4281.777344
243,1727.783691,4449.252441
244,1978.996216,5225.220215
245,2045.986206,5289.418945
246,2065.524902,5314.540039
247,2179.966309,5253.132324
248,2224.626221,5144.273926
249,2277.659912,5258.714844
250,2071.107422,5470.850098
251,2422.804932,5794.634766
252,2453.508789,5872.790039
253,2847.074951,6084.924805
254,3039.671143,6043.056152
255,2849.866211,6146.33252
256,2861.03125,6394.753906
257,3075.95752,6375.214844
258,3154.112549,6447.787598
259,3486.27124,6601.306152
260,3539.304932,6648.757324
261,3623.04248,6701.791016
262,3140.15625,6484.07373
263,3455.567383,6824.606445
264,3062.001221,6685.043945
265,3318.796143,6902.76123
266,2981.054932,6886.013672
267,2844.283691,7014.411133
268,2718.67749,6397.544922
269,2657.27002,6531.524902
270,2604.236328,6690.626465
271,2542.828857,6738.077637
272,2375.35376,6065.38623
273,2397.683838,6149.123535
274,1473.780029,5741.601074
275,1501.692505,5808.591309
276,1635.672485,6003.978516
277,1688.706299,5981.648926
278,1797.564941,5998.396484
279,1886.88501,6037.473633
280,1370.503784,6057.012695
281,1253.27124,6545.481445
282,1537.97876,6849.727539
283,1627.298706,7019.993652
284,1205.819946,6003.978516
285,1292.348755,5632.742676
286,1632.881226,4418.548828
287,1563.099976,4474.373535
288,1493.318726,4477.165039
289,923.903748,4301.316406
290,817.836243,4345.976074
291,731.307495,4728.377441
292,572.206238,4278.986328
293,1800.356201,4145.006348
294,1546.352539,4108.720215
295,1521.231201,4170.127441
296,1543.561279,4036.147461
297,1515.648804,3935.662598
298,1521.231201,3865.881348
299,1504.483765,3796.100098
300,1839.433716,3369.038818
301,3684.449951,3519.766357
302,3754.231201,3461.149902
303,3840.76001,3419.28125
304,3969.157471,3246.223633
305,4105.928711,3257.388672
306,4170.127441,3187.607422
307,4418.548828,2894.526367
308,4393.427734,2461.882568
309,4284.568848,3310.422607
310,4256.65625,3366.247559
311,3516.975098,3307.631348
312,3815.638672,2997.80249
313,3916.123779,2997.80249
314,2336.276367,3416.48999
315,2604.236328,3254.597412
316,2230.20874,2442.34375
317,2648.89624,2433.969971
318,3553.26123,2556.784912
319,3667.702393,2383.727539
320,3606.294922,2406.057617
321,3564.42627,2283.242432
322,3712.362549,2043.194946
323,3717.945068,2411.639893
324,3461.149902,2439.55249
325,3759.813721,1817.10376
326,4089.181152,1688.706299
327,4466.0,1417.954956
328,4580.441406,1496.109985
329,4064.060059,968.563721
330,4027.773682,845.748779
331,3938.453857,574.997498
332,3636.998779,1283.974976
333,3670.493652,1080.213745
334,3561.63501,935.068726
335,3634.20752,815.044983
336,3611.877441,706.186279
337,3447.193848,736.890015
338,3363.456299,602.909973
339,3223.893799,427.061249
340,3182.024902,639.196228
341,3067.58374,574.997498
342,3008.967529,591.744995
343,2978.263672,563.83252
344,2888.943848,586.162476
345,2827.536133,524.755005
346,2953.142578,837.375
347,3101.078857,1060.675049
348,3422.07251,1297.931274
349,3597.921143,1942.709961
350,3530.931152,1724.992554
351,3449.985107,1791.982544
352,3388.577393,1711.036255
353,2632.148682,2386.518799
354,2791.25,2347.441162
355,3126.199951,2439.55249
356,2154.844971,1272.810059
357,2266.495117,1300.722534
358,2177.175049,1002.058777
359,2199.504883,879.243774
360,2274.868652,773.17627
361,2378.14502,586.162476
362,2475.838867,454.973755
363,2495.377441,410.313751
364,2637.731201,427.061249
365,1697.079956,2710.303711
366,1440.285034,2967.098633
367,1314.678711,3106.661133
368,1292.348755,3187.607422
369,1270.018799,3232.267578
370,1102.543701,3628.625
371,1116.5,3743.066162
372,1205.819946,3807.264893
373,1052.30127,3835.17749
374,1105.334961,2967.098633
375,1024.388794,2894.526367
376,815.044983,2847.074951
377,725.724976,2958.725098
378,1356.547485,2325.111328
379,1105.334961,2433.969971
380,851.331238,1747.32251
381,912.73877,2676.808838
382,1470.98877,2311.155029
383,1465.40625,2408.848633
384,3572.800049,1320.26123
385,3946.827393,5442.9375
386,3907.75,6389.171387
387,4122.67627,1591.012451
388,3648.163818,636.405029
389,2643.313721,711.768738
390,1043.92749,5950.944824
391,979.72876,3824.012451
392,2969.889893,2227.41748
393,3078.748779,5995.60498
394,1803.147461,3427.655029
