,Diam,StartNode,EndNode,Length
0,8.0,71,73,119.62600657080803
1,8.5,231,171,984.266114380244
2,9.0,12,9,224.67957232371393
3,7.5,178,117,398.3293629637701
4,11.0,74,76,177.71466368007765
5,13.5,61,62,384.5519801417569
6,9.0,116,113,240.94922428566505
7,8.5,14,15,379.9346464801227
8,8.0,82,83,258.9644846773109
9,8.0,268,269,1029.4362841627524
10,7.0,32,13,467.1557687244176
11,8.0,105,17,735.990478762975
12,9.5,221,226,272.0226372151651
13,14.5,260,262,579.7203196435804
14,11.5,177,179,174.10386003446476
15,9.0,207,206,242.03360591578203
16,11.0,145,150,765.3971660721127
17,11.5,83,84,129.62414482473605
18,10.0,120,122,283.51143780639626
19,8.0,223,221,341.9492378870008
20,8.5,197,199,220.74586553697375
21,16.0,45,44,788.0530467601131
22,13.5,206,208,202.61496810737324
23,7.0,168,163,730.0169325313464
24,10.5,86,83,641.1380980777948
25,17.5,208,209,415.2027526195877
26,8.0,221,170,709.9675805782892
27,8.0,25,27,159.9534771626488
28,8.0,10,11,256.091743677859
29,11.0,242,245,867.0982086119869
30,13.0,120,118,411.25863105568703
31,17.0,17,87,318.5109722957724
32,10.0,0,3,330.07023723205896
33,9.0,77,78,824.5678865232453
34,11.0,65,66,337.01242004443094
35,12.0,120,121,29.638291878382212
36,11.0,16,14,99.8180427912685
37,18.0,122,123,392.1568633981898
38,11.5,262,261,1055.5748589902776
39,14.0,121,122,52.98173817408189
40,22.0,123,124,61.611826521398626
41,12.0,201,206,657.0193467349663
42,12.0,273,121,274.7517998250778
43,13.5,84,164,579.258562863314
44,14.0,57,273,432.18167706844815
45,18.0,124,125,218.31699069687693
46,10.0,273,123,186.36998493115712
47,12.5,126,124,268.60056469964485
48,9.0,0,1,542.4896787274114
49,11.0,107,113,380.5124117837994
50,15.5,200,201,730.6017224648028
51,9.0,155,157,474.66949031552565
52,16.5,132,63,312.5045163363876
53,20.0,44,42,236.63014779288554
54,11.5,31,16,644.1252839003796
55,11.5,64,65,371.9935610671177
56,7.0,24,77,85.60711395731973
57,8.5,14,7,469.9444673989632
58,8.0,166,98,434.76971160423284
59,9.0,2,0,374.45878284252296
60,13.0,259,262,609.5083771387714
61,11.0,201,208,525.1258891291021
62,21.0,42,109,377.6561689500711
63,8.0,154,82,185.2721626984803
64,10.0,33,28,303.0514086356923
65,12.0,244,185,957.031796886162
66,14.0,117,176,388.49844287696254
67,10.5,104,105,152.18206411321896
68,15.0,43,44,763.972200984558
69,25.0,125,129,76.7370946771616
70,9.0,102,99,448.0766240210429
71,13.5,176,103,60.43335732262784
72,10.0,153,81,341.2573595617578
73,10.5,113,117,98.09958080604105
74,7.0,21,4,396.12707384013004
75,11.0,16,17,192.0266694842491
76,12.0,65,67,194.21561763435568
77,16.0,81,80,235.77123422266453
78,13.0,55,43,739.477454441241
79,8.0,212,215,322.86375927700215
80,12.0,35,33,382.6228640260879
81,10.0,77,81,798.2305937609486
82,12.0,43,45,273.0819739874056
83,15.0,146,149,291.6928039252874
84,12.0,115,112,548.9353363506522
85,11.0,167,168,636.7113218258861
86,22.0,87,92,283.4522980386778
